DATE,HEAT NO,GRADE,LRF Process Time-HH:mm:ss,LRF Holding Time-mm,Power Consumption,Agron Consumption,Liquidus temp (° C),CSP-SiMn,Mn HC,Mn MC,Mn LC,Mn Metal,FeSi,Ladle Cov,FeMo Metal,FeV,FeNb lumps,FeTi lumps,FeTi Wire,FeB,FeAl,Cal Carb,Al bar,Al  wire,FeP,Sul Stick,Al mix,CaSi wire,Cal Wire,CaFeAl Wire,S Wire,Ni Plate,FeCr LC,FeCr HC,Al Shot,Lead Wire,Mo Metal,Syn Slag,LRF Total Time (Min),Lift Temp,Arching Time-mm,LRF Lime,C%,Mn%,S%,P%,Si%,Cr%,Ni%,Mo%,V%,Ti%,Al%,Ca%,N%,Pb%,Nb%,F-C%,F-Mn%,F-S%,F-P%,F-Si%,F-Cr%,F-Ni%,F-Mo%,F-V%,F-Ti%,F-Al%,F-Ca%,F-N%,F-Pb%,F-Nb%,Delta_C,Delta_Mn,Delta_S,Delta_P,Delta_Si,Delta_Cr,Delta_Ni,Delta_Mo,Delta_V,Delta_Ti,Delta_Al,Delta_Ca,Delta_N,Delta_Pb,Delta_Nb
2025-02-01 23:12:41,B250032,G-600-A,03:02:00,03:10:00,6860.9295,52180.209318274996,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,212.3,0,0,0,0,25.249999999999996,0,0,0,0,0,0,0,0,0,123.76666666666651,1582.5,39,591.0,0.03448,0.1044,0.03092,0.00792,0.00764,0.00649,0.00289,0.000725,0.0002,0.00085,0.05169,0.00022,0.0047,0.00053,0.0002,0.044,0.13,0.00424,0.011,0.02149,0.00973,0.00383,0.0004,0.0002,0.00095,0.02934,0.0017,0.0059,0.0004,0.00103,0.00952,0.025599999999999998,-0.02668,0.0030799999999999994,0.013849999999999998,0.0032400000000000007,0.0009399999999999999,-9.999999999999999e-05,0.0,0.00010000000000000005,-0.02235,0.00148,0.0011999999999999997,-0.00012999999999999996,0.0007849999999999997
2025-02-28 00:00:00,B251192,G-600-A,02:23:00,02:37:00,6860.9295,40085.63762407,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,220.7,0,0,0,0,24.8,0,0,0,0,0,0,0,0,0,123.76666666666651,1582.5,39,834.0,0.03276,0.0667,0.071,0.00747,0.00988,0.01171,0.004815,0.0004,0.0002,0.00091,0.02549,3e-05,0.0046,0.00063,0.00069,0.04,0.14894,0.0072,0.00867,0.01837,0.01654,0.005175000000000001,0.0004249999999999999,0.0002,0.00105,0.028,0.003,0.0052,0.00031,0.00084,0.007240000000000003,0.08224,-0.0638,0.0012000000000000005,0.008490000000000001,0.004829999999999999,2.9999999999998778e-05,5.9999999999999995e-05,0.0,0.00013999999999999993,0.002510000000000002,0.00297,0.0005999999999999998,-0.00032,0.00015000000000000007
2025-02-28 00:00:00,A251227,G-600-A,00:48:00,01:36:00,685.1174,7027.31626042,1528,0,20,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,107.4,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,48.1333333333333,1569.0,10,240.0,0.03831,0.09352,0.052,0.01322,0.00735,0.00732,0.00237,0.0004,0.0002,0.00073,0.08079,0.00016,0.0045,0.00067,0.0002,0.03953,0.11535,0.00545,0.01252,0.02801,0.00812,0.00247,0.0004,0.0002,0.00091,0.03043,0.0019,0.0054,0.00063,0.0002,0.0012200000000000058,0.02182999999999999,-0.046549999999999994,-0.000700000000000001,0.02066,0.0008000000000000004,9.999999999999983e-05,0.0,0.0,0.00018000000000000004,-0.05036,0.00174,0.0009000000000000006,-3.9999999999999996e-05,0.0
2025-03-01 00:05:15,B250035,G-600-A,01:03:00,01:25:00,3137.904,14917.82504097,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,164.7,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,62.5,1569.0,19,475.0,0.03996,0.10992,0.032,0.0079,0.00588,0.01082,0.004815,0.0005,0.0002,0.00083,0.02169,0.00016,0.005,0.00049,0.0002,0.05328,0.13663,0.00461,0.00943,0.01847,0.01388,0.005175000000000001,0.0004,0.0002,0.0012600000000000003,0.03028,0.00164,0.005925000000000001,0.00039,0.00066,0.013319999999999999,0.026709999999999998,-0.02739,0.0015299999999999984,0.01259,0.0030600000000000002,0.0009200000000000007,-9.999999999999999e-05,0.0,0.00044999999999999977,0.00859,0.00148,0.001,-9.999999999999999e-05,0.00046
2025-02-28 00:00:00,A251226,G-600-A,00:56:00,01:56:00,3344.502,15946.04148545,1528,0,51,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,77.9,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,56.9,1568.0,21,296.0,0.03884,0.09065,0.02805,0.01452,0.01159,0.01053,0.0028,0.0004,0.0002,0.00085,0.04843,0.0003,0.00463,0.00052,0.00074,0.046,0.11279,0.007,0.01487,0.03022,0.01265,0.00292,0.0004,0.0002,0.00102,0.03539,0.0018,0.0054,0.00037,0.00082,0.00716,0.022140000000000007,-0.02105,0.0003499999999999996,0.01863,0.0021200000000000004,0.00011999999999999988,0.0,0.0,0.00017000000000000012,-0.013040000000000003,0.0015,0.0007700000000000007,-0.00014999999999999996,7.999999999999999e-05
2025-02-28 00:00:00,A251225,G-600-A,01:43:00,02:28:00,2569.673,30663.95095811,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,99.3,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,102.033333333333,1570.0,23,398.0,0.03223,0.10096,0.03314,0.01745,0.01459,0.0153,0.00219,0.0004,0.0002,0.00106,0.05047,0.0007250000000000001,0.00466,0.00073,0.0002,0.04068,0.11193,0.00529,0.01882,0.02299,0.01715,0.00242,0.0004,0.0002,0.00097,0.03427,0.00161,0.0056,0.00063,0.0002,0.00845,0.010970000000000008,-0.027850000000000003,0.0013699999999999997,0.0084,0.0018499999999999992,0.00022999999999999974,0.0,0.0,-8.999999999999991e-05,-0.0162,0.0008500000000000001,0.0009399999999999999,-9.999999999999994e-05,0.0
2025-03-01 00:48:57,B250038,G-600-A,01:47:00,02:21:00,4738.199,34430.40271619,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,136.1,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,106.85,1571.0,29,540.0,0.04169,0.11161,0.03672,0.0164,0.00489,0.01333,0.00314,0.0004,0.0002,0.00084,0.01948,0.00015,0.0047,0.00043,0.0002,0.042,0.12,0.00764,0.01741,0.01594,0.01337,0.00402,0.0004,0.0002,0.00119,0.037,0.0019,0.0055,0.00031,0.00074,0.0003100000000000047,0.008389999999999995,-0.02908,0.001009999999999997,0.011049999999999999,4.0000000000000105e-05,0.0008800000000000001,0.0,0.0,0.00035000000000000005,0.017519999999999997,0.00175,0.0007999999999999995,-0.00011999999999999999,0.00054
2025-02-28 00:00:00,A251224,G-600-A,01:05:00,01:35:00,3946.605,30169.22845135,1528,0,19,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,103.8,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,65.1833333333333,1571.0,25,218.0,0.04271,0.09916,0.04065,0.01543,0.01509,0.01696,0.00286,0.0004,0.0002,0.00094,0.04561,3e-05,0.0048,0.00036,0.00058,0.04905,0.12751,0.0074,0.01544,0.0223,0.02012,0.00251,0.0004,0.0002,0.00081,0.03735,0.0025,0.0054,0.00072,0.0002,0.006340000000000005,0.028350000000000014,-0.03325,1.0000000000001327e-05,0.007210000000000001,0.0031599999999999996,-0.00035000000000000005,0.0,0.0,-0.00013000000000000002,-0.008259999999999997,0.00247,0.0006000000000000007,0.00036,-0.00038
2025-02-28 00:00:00,A251220,G-600-A,01:28:00,02:58:00,3052.388,52180.209318274996,1528,0,80,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,100.8,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,88.0,1570.0,37,732.0,0.04081,0.05618999999999999,0.028,0.01265,0.01017,0.01628,0.00253,0.0004,0.0002,0.00085,0.04421,0.00022,0.0049,0.00088,0.0002,0.04401,0.10343,0.0036750000000000003,0.01201,0.03109,0.01698,0.00274,0.0004,0.0002,0.00094,0.03423,0.003,0.0054,0.00111,0.0002,0.0032000000000000015,0.05270999999999999,-0.024550000000000002,-0.0006399999999999999,0.02092,0.0006999999999999992,0.00020999999999999968,0.0,0.0,9.000000000000002e-05,-0.009980000000000003,0.00278,0.0005000000000000004,0.00023000000000000006,0.0
2025-03-01 01:48:56,B250041,G-600-A,01:06:00,01:45:00,0.08852642,25777.107435,1528,0,42,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,195.3,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,65.6666666666666,1571.0,23,537.0,0.03489,0.08083,0.03624,0.00797,0.00969,0.01077,0.00298,0.0004,0.0002,0.0008,0.02279,0.00021,0.0046,0.00067,0.0002,0.04001,0.12396,0.00369,0.00859,0.01981,0.0122,0.00358,0.0004,0.0002,0.00081,0.03023,0.0022,0.0055,0.00073,0.00032,0.0051199999999999996,0.04313,-0.03255,0.0006200000000000008,0.01012,0.0014300000000000007,0.0005999999999999998,0.0,0.0,9.999999999999918e-06,0.007439999999999999,0.00199,0.0008999999999999998,5.999999999999994e-05,0.00012000000000000002
2025-03-01 01:52:43,B250042,G-600-A,01:11:00,01:56:00,3566.641,17296.36257145,1528,0,37,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,151.2,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,71.3,1575.0,22,507.0,0.03207,0.08222,0.03646,0.01189,0.00863,0.00979,0.00315,0.0004,0.0002,0.00083,0.03223,0.00021,0.0046,0.00045,0.00039,0.04051,0.12408,0.00629,0.01221,0.0148,0.01027,0.003,0.0004,0.0002,0.00087,0.03292,0.00262,0.0054,0.00051,0.00043,0.008439999999999996,0.041859999999999994,-0.03017,0.00032000000000000084,0.00617,0.0004799999999999995,-0.00014999999999999996,0.0,0.0,3.9999999999999996e-05,0.0006899999999999962,0.00241,0.0008000000000000004,6.000000000000005e-05,3.9999999999999996e-05
2025-03-01 02:11:09,B250043,G-600-A,02:47:00,03:16:00,6857.41,0.0,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,155.0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,123.76666666666651,1570.0,34,600.0,0.03207,0.08222,0.03646,0.01189,0.00863,0.00979,0.00315,0.0004,0.0002,0.00083,0.03223,0.00021,0.0046,0.00045,0.00039,0.04051,0.12408,0.00629,0.01221,0.0148,0.01027,0.003,0.0004,0.0002,0.00087,0.03292,0.00262,0.0054,0.00051,0.00043,0.008439999999999996,0.041859999999999994,-0.03017,0.00032000000000000084,0.00617,0.0004799999999999995,-0.00014999999999999996,0.0,0.0,3.9999999999999996e-05,0.0006899999999999962,0.00241,0.0008000000000000004,6.000000000000005e-05,3.9999999999999996e-05
2025-03-01 02:22:28,B250044,G-600-A,01:01:00,01:14:00,2397.955,22983.9005918,1528,0,46,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,83.5,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,60.8166666666666,1569.0,15,387.0,0.03825,0.09234,0.05181,0.01461,0.01332,0.01194,0.0037,0.0004,0.0002,0.00111,0.08785,0.00013,0.0046,0.00047,0.00076,0.03571,0.12635,0.00564,0.01327,0.02325,0.01363,0.00373,0.0004,0.0002,0.00092,0.03142,0.0017,0.0055,0.0002,0.00098,-0.0025400000000000006,0.034009999999999985,-0.04617,-0.0013399999999999992,0.00993,0.0016900000000000005,2.9999999999999645e-05,0.0,0.0,-0.00019000000000000006,-0.05643,0.00157,0.0008999999999999998,-0.00026999999999999995,0.00021999999999999993
2025-03-01 02:22:28,B250045,G-600-A,01:37:00,01:58:00,5303.548,38493.6358359,1528,0,33,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,135.8,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,96.3166666666666,1570.0,32,565.0,0.04533,0.09021,0.03812,0.01561,0.01226,0.0089,0.00286,0.00065,0.0002,0.00084,0.05282,0.00014,0.0047,0.00045,0.00028,0.04544,0.13217,0.0078,0.019,0.01536,0.01053,0.0037,0.0004,0.0002,0.00098,0.035,0.00176,0.0054,0.00056,0.00061,0.00010999999999999899,0.04196000000000001,-0.03032,0.003389999999999999,0.0031000000000000003,0.0016299999999999995,0.00084,-9.999999999999999e-05,0.0,0.00013999999999999993,-0.017819999999999996,0.0016200000000000001,0.0007000000000000001,0.00010999999999999996,0.00033
2025-03-01 02:25:49,B250046,G-600-A,01:55:00,02:16:00,2238.967,19818.5560208,1528,0,32,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,133.6,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,114.466666666666,1568.0,29,278.0,0.0429,0.09945,0.05555,0.01767,0.01513,0.00877,0.00334,0.0004,0.0002,0.00103,0.06989,0.00016,0.0046,0.00051,0.00056,0.046,0.12771,0.007,0.0234,0.02013,0.01105,0.00306,0.0004,0.0002,0.00089,0.03373,0.00214,0.0056,0.0007,0.00036,0.0030999999999999986,0.028259999999999993,-0.04855,0.0048,0.004999999999999999,0.0022800000000000008,-0.0002800000000000003,0.0,0.0,-0.00014000000000000015,-0.03615999999999999,0.00198,0.001,0.00018999999999999996,-0.00019999999999999993
2025-03-01 03:06:12,B250047,G-600-A,01:21:00,01:46:00,3105.547,0.0,1528,0,40,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,132.0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,80.9666666666666,1568.0,15,700.0,0.0429,0.09945,0.05555,0.01767,0.01513,0.00877,0.00334,0.0004,0.0002,0.00103,0.06989,0.00016,0.0046,0.00051,0.00056,0.046,0.12771,0.007,0.0234,0.02013,0.01105,0.00306,0.0004,0.0002,0.00089,0.03373,0.00214,0.0056,0.0007,0.00036,0.0030999999999999986,0.028259999999999993,-0.04855,0.0048,0.004999999999999999,0.0022800000000000008,-0.0002800000000000003,0.0,0.0,-0.00014000000000000015,-0.03615999999999999,0.00198,0.001,0.00018999999999999996,-0.00019999999999999993
2025-03-01 03:06:41,B250048,G-600-A,02:02:00,02:19:00,3930.082,34921.33668145,1528,0,42,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,222.1,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,122.916666666666,1570.0,28,689.0,0.034,0.07751,0.046,0.00903,0.01105,0.00785,0.00325,0.0004,0.0002,0.00071,0.00389,0.0002,0.0045,0.0004,0.00032,0.03874,0.12768,0.00609,0.0133,0.0152,0.00829,0.00356,0.0004249999999999999,0.0002,0.00078,0.035,0.0021,0.0053,0.00064,0.00023,0.004739999999999994,0.05016999999999999,-0.03991,0.0042699999999999995,0.004149999999999999,0.00044000000000000115,0.00030999999999999995,5.9999999999999995e-05,0.0,6.999999999999997e-05,0.031110000000000002,0.0018999999999999998,0.0008000000000000004,0.00024000000000000003,-9.000000000000002e-05
2025-02-28 00:00:00,A251219,G-600-A,00:48:00,01:07:00,663.5524,0.0,1528,0,40,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,96.0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,47.4166666666666,1580.0,4,130.0,0.034,0.07751,0.046,0.00903,0.01105,0.00785,0.00325,0.0004,0.0002,0.00071,0.00389,0.0002,0.0045,0.0004,0.00032,0.03874,0.12768,0.00609,0.0133,0.0152,0.00829,0.00356,0.0004249999999999999,0.0002,0.00078,0.035,0.0021,0.0053,0.00064,0.00023,0.004739999999999994,0.05016999999999999,-0.03991,0.0042699999999999995,0.004149999999999999,0.00044000000000000115,0.00030999999999999995,5.9999999999999995e-05,0.0,6.999999999999997e-05,0.031110000000000002,0.0018999999999999998,0.0008000000000000004,0.00024000000000000003,-9.000000000000002e-05
2025-02-28 00:00:00,A251218,G-600-A,01:15:00,03:32:00,2686.87,17417.76954189,1528,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,207.5,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,123.76666666666651,1580.0,14,668.0,0.04543,0.13961,0.009785000000000005,0.01479,0.024095,0.01499,0.0031,0.0004,0.0002,0.00099,0.02745,0.0003,0.0052,0.0012799999999999999,0.00053,0.042,0.13984,0.005,0.01472,0.0279,0.0166,0.00297,0.0004,0.0002,0.00105,0.038,0.003585,0.0055,0.00062,0.0008,-0.0034299999999999956,0.00022999999999998022,-0.003,-6.999999999999888e-05,0.002530000000000001,0.0016100000000000003,-0.0001299999999999999,0.0,0.0,5.999999999999994e-05,0.01055,0.0033450000000000008,0.0002999999999999999,-0.0007,0.00027000000000000006
